HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Number,TotalServices,Deck,Num,Side,HasServices
Earth,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,99,02,0.0,G,12,P,False
Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,1,101,01,0.0,F,12,S,False
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,0,102,01,921.0,F,23,S,True
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,17.0,1,103,01,17.0,F,24,S,True
Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,1,103,02,0.0,G,18,S,False
Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,0,103,03,0.0,G,18,S,False
Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,0,105,01,703.0,F,21,P,True
Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,0,107,01,1765.0,D,2,S,True
Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,0,108,01,0.0,G,19,S,False
Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,0,108,02,888.0,G,19,S,True
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,108,03,0.0,G,19,S,False
Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,0,110,01,5109.0,F,19,S,True
Europa,False,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,0,110,02,2018.0,B,5,P,True
Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,1,110,03,15940.0,B,5,P,True
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,110,04,0.0,B,5,P,False
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,1,111,01,0.0,E,6,S,False
Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,1,112,01,2654.0,B,1,S,True
Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,1,113,01,804.0,F,23,P,True
Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,0,114,01,907.0,G,20,S,True
Mars,False,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,1,115,01,0.0,F,24,P,False
Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,1,116,01,2640.0,D,4,P,True
Earth,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,0,119,01,9307.0,A,0,P,True
Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,1,119,02,0.0,A,0,P,False
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,120,01,0.0,F,25,P,False
Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,0,122,01,773.0,G,21,S,True
Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,0,123,01,702.0,F,27,P,True
Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,1,126,01,0.0,F,27,S,False
Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,0,127,01,1022.0,E,7,S,True
Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,0,128,01,3014.0,D,3,S,True
Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,0,128,02,2109.0,E,8,S,True
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,1,129,01,0.0,G,22,S,False
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,133,01,0.0,F,29,S,False
Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,0,133,02,2738.0,D,5,S,True
Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,1,134,01,744.0,G,17,P,True
Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,0,136,01,721.0,G,23,S,True
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,1,138,01,0.0,G,18,P,False
Earth,False,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,0,138,02,793.0,E,5,P,True
Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,139,01,0.0,C,6,S,False
Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,140,01,0.0,G,19,P,False
Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,0,140,02,902.0,F,29,P,True
Mars,False,TRAPPIST-1e,31.0,False,0.0,0.0,97.0,0.0,0.0,0,141,01,97.0,F,30,P,True
Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,1,144,01,630.0,F,31,S,True
Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,0,146,01,0.0,G,25,S,False
Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,1,147,01,0.0,G,26,S,False
Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,0,148,01,1158.0,F,31,P,True
Earth,True,55 Cancri e,28.82793046746535,False,0.0,0.0,0.0,0.0,0.0,1,149,01,0.0,G,27,S,False
Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,0,151,01,0.0,G,20,P,False
Earth,False,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,607.0,0,152,01,607.0,F,32,P,True
Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,0,160,01,4180.0,G,22,P,True
Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,1,163,01,0.0,B,8,P,False
Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,1,163,02,0.0,B,8,P,False
Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,0.0,135.0,1,164,01,1873.0,G,28,S,True
Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,0,164,02,0.0,G,28,S,False
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,165,01,0.0,F,37,P,False
Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,1,167,01,0.0,F,35,S,False
Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,0,167,02,1572.0,F,35,S,True
Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,0,169,01,0.0,G,23,P,False
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,0,170,01,788.0,E,10,S,True
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,1,171,01,0.0,G,30,S,False
Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,1,172,01,0.0,G,24,P,False
Earth,False,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,1,173,01,990.0,E,11,S,True
Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,0,174,01,593.0,F,38,P,True
Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,0,177,01,27428.0,B,2,S,True
Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,0,178,01,3722.0,D,6,S,True
Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,1,179,01,906.0,G,26,P,True
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0,179,02,0.0,G,26,P,False
Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,1,179,03,0.0,G,26,P,False
Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,0,181,01,394.0,G,27,P,True
Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,182,01,0.0,C,3,P,False
Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,1,183,01,821.0,F,36,S,True
Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,0,186,01,1018.0,G,28,P,True
Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,1,188,01,0.0,G,31,S,False
Earth,False,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,0,189,01,788.0,E,8,P,True
Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,0,190,01,0.0,G,32,S,False
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,1,192,01,0.0,G,29,P,False
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,0,192,02,0.0,G,29,P,False
Earth,False,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,0,192,03,908.0,G,29,P,True
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,193,01,0.0,F,41,P,False
Mars,False,TRAPPIST-1e,23.0,False,0.0,0.0,8.0,1072.0,0.0,0,193,02,1080.0,F,41,P,True
Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,193,03,0.0,F,41,P,False
Mars,False,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,1,195,01,1273.0,F,42,P,True
Mars,False,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,0,196,01,1778.0,D,5,P,True
Europa,False,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,0,197,01,2342.0,C,5,P,True
Earth,False,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,1,198,01,0.0,G,30,P,False
Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,0,199,01,0.0,G,33,S,False
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,1,200,01,0.0,G,31,P,False
Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,201,01,0.0,B,3,S,False
Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,1,201,02,0.0,B,3,S,False
Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,1,202,01,0.0,B,9,P,False
Europa,False,55 Cancri e,28.82793046746535,False,0.0,2433.0,0.0,878.0,443.0,1,202,02,3754.0,A,2,P,True
Europa,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,1,203,01,0.0,C,8,S,False
Earth,False,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,0,205,01,773.0,G,34,S,True
Europa,False,55 Cancri e,28.82793046746535,False,2.0,1720.0,12.0,1125.0,122.0,1,206,01,2981.0,C,9,S,True
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,0,207,01,0.0,G,32,P,False
Earth,True,55 Cancri e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,210,01,0.0,D,6,P,False
Mars,False,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,1,211,01,1040.0,F,44,P,True
Mars,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,1,211,02,0.0,F,44,P,False
Mars,False,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,0,211,03,1337.0,F,44,P,True
Earth,False,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,0,212,01,982.0,E,9,P,True
Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,0,212,02,732.0,F,45,P,True
Earth,False,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,0,213,01,794.0,F,46,P,True
Earth,False,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,0,216,01,1974.0,F,40,S,True
Earth,False,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,0,217,01,1544.0,F,47,P,True
Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,219,01,0.0,G,36,P,False
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,220,01,0.0,G,37,P,False
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,220,02,0.0,G,37,P,False
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0,220,03,0.0,G,37,P,False
Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,0.0,0.0,0.0,0,220,04,206.0,E,10,P,True
Earth,False,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,0,220,05,1102.0,F,48,P,True
Earth,False,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,0,220,06,0.0,G,37,P,False
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,1,220,07,0.0,G,37,P,False
Mars,False,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,0,221,01,2356.0,E,13,S,True
Mars,False,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,0,221,02,1298.0,E,13,S,True
Mars,False,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,0,221,03,2134.0,E,13,S,True
Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,1,221,04,0.0,E,13,S,False
Mars,False,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,0,221,05,2597.0,E,13,S,True
Mars,False,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,0,221,06,1370.0,E,13,S,True
Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,0,221,07,0.0,E,13,S,False
Mars,False,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,0,222,01,1417.0,F,41,S,True
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,222,02,0.0,F,41,S,False
Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,1,222,03,0.0,E,14,S,False
Earth,False,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,0,223,01,676.0,G,35,S,True
Mars,False,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,0,224,01,1820.0,F,42,S,True
Earth,True,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,1,225,01,0.0,G,38,P,False
Earth,False,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,0,229,01,803.0,F,43,S,True
Mars,False,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,0,231,01,1806.0,F,44,S,True
Earth,True,PSO J318.5-22,27.0,False,0.0,0.0,0.0,0.0,0.0,0,232,01,0.0,G,36,S,False
Mars,False,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,0,233,01,1750.0,F,45,S,True
Earth,False,TRAPPIST-1e,43.0,False,0.0,888.0,0.0,0.0,0.0,0,234,01,888.0,F,50,P,True
Europa,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,1,237,01,0.0,B,11,P,False
Mars,False,TRAPPIST-1e,37.0,False,637.0,0.0,0.0,92.0,319.0,0,239,01,1048.0,F,11,S,True
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,240,01,0.0,F,52,P,False
Europa,False,55 Cancri e,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,0,241,01,7177.0,E,11,P,True
